"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0531e+14,1.2022e+15,2.9544e+15,2.0039e+15,1.2484e+15,2.8901e+14,1061.8,1,11.881,11.881,94,0
3.0522e+14,1.2018e+15,2.9535e+15,2.0033e+15,1.248e+15,2.8892e+14,1061.8,1,12.043,12.043,94,0
3.0512e+14,1.2014e+15,2.9525e+15,2.0026e+15,1.2476e+15,2.8883e+14,1061.8,1,12.206,12.206,94,0
3.0502e+14,1.201e+15,2.9516e+15,2.002e+15,1.2472e+15,2.8874e+14,1061.7,1,12.369,12.369,94,0
3.0492e+14,1.2006e+15,2.9506e+15,2.0013e+15,1.2468e+15,2.8864e+14,1061.7,1,12.532,12.532,94,0
3.0482e+14,1.2003e+15,2.9497e+15,2.0007e+15,1.2464e+15,2.8855e+14,1061.7,1,12.694,12.694,94,0
3.0472e+14,1.1999e+15,2.9487e+15,2e+15,1.246e+15,2.8846e+14,1061.6,1,12.857,12.857,94,0
3.0463e+14,1.1995e+15,2.9478e+15,1.9994e+15,1.2455e+15,2.8837e+14,1061.6,1,13.02,13.02,94,0
3.0453e+14,1.1991e+15,2.9468e+15,1.9987e+15,1.2451e+15,2.8828e+14,1061.6,1,13.183,13.183,94,0
3.0443e+14,1.1987e+15,2.9459e+15,1.9981e+15,1.2447e+15,2.8818e+14,1061.5,1,13.345,13.345,94,0
3.0433e+14,1.1983e+15,2.9449e+15,1.9974e+15,1.2443e+15,2.8809e+14,1061.5,1,13.508,13.508,94,0
3.042e+14,1.1978e+15,2.9437e+15,1.9966e+15,1.2438e+15,2.8797e+14,1061.5,1,13.671,13.671,94,0
3.0406e+14,1.1973e+15,2.9423e+15,1.9957e+15,1.2432e+15,2.8784e+14,1061.4,1,13.834,13.834,94,0
3.0393e+14,1.1967e+15,2.941e+15,1.9948e+15,1.2427e+15,2.8771e+14,1061.4,1,13.997,13.997,94,0
3.0379e+14,1.1962e+15,2.9397e+15,1.9939e+15,1.2421e+15,2.8759e+14,1061.3,1,14.159,14.159,94,0
3.0366e+14,1.1957e+15,2.9384e+15,1.993e+15,1.2416e+15,2.8746e+14,1061.3,1,14.322,14.322,94,0
