"group1","group2","group3","group4","group5","group6","temp","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.9096e+14,1.1455e+15,2.8122e+15,1.9045e+15,1.1801e+15,2.6793e+14,1016.2,1,21.32,21.32,94,0
2.9079e+14,1.1448e+15,2.8105e+15,1.9034e+15,1.1794e+15,2.6777e+14,1016.2,1,21.483,21.483,94,0
2.9062e+14,1.1441e+15,2.8089e+15,1.9023e+15,1.1787e+15,2.6762e+14,1016.1,1,21.646,21.646,94,0
2.9045e+14,1.1435e+15,2.8072e+15,1.9012e+15,1.178e+15,2.6746e+14,1016,1,21.809,21.809,94,0
2.9028e+14,1.1428e+15,2.8056e+15,1.9001e+15,1.1773e+15,2.6731e+14,1016,1,21.971,21.971,94,0
2.9011e+14,1.1421e+15,2.8039e+15,1.8989e+15,1.1766e+15,2.6715e+14,1015.9,1,22.134,22.134,94,0
2.8994e+14,1.1415e+15,2.8023e+15,1.8978e+15,1.1759e+15,2.67e+14,1015.9,1,22.297,22.297,94,0
2.8976e+14,1.1408e+15,2.8006e+15,1.8967e+15,1.1752e+15,2.6684e+14,1015.8,1,22.459,22.459,94,0
2.8958e+14,1.1401e+15,2.7988e+15,1.8955e+15,1.1745e+15,2.6667e+14,1015.8,1,22.622,22.622,94,0
2.8937e+14,1.1392e+15,2.7968e+15,1.8941e+15,1.1736e+15,2.6648e+14,1015.7,1,22.785,22.785,94,0
2.8917e+14,1.1384e+15,2.7948e+15,1.8928e+15,1.1728e+15,2.663e+14,1015.6,1,22.948,22.948,94,0
2.8896e+14,1.1376e+15,2.7928e+15,1.8914e+15,1.172e+15,2.6611e+14,1015.6,1,23.111,23.111,94,0
2.8875e+14,1.1368e+15,2.7908e+15,1.8901e+15,1.1711e+15,2.6592e+14,1015.5,1,23.273,23.273,94,0
2.8855e+14,1.136e+15,2.7888e+15,1.8887e+15,1.1703e+15,2.6573e+14,1015.4,1,23.436,23.436,94,0
2.8834e+14,1.1352e+15,2.7868e+15,1.8874e+15,1.1695e+15,2.6554e+14,1015.4,1,23.599,23.599,94,0
2.8813e+14,1.1344e+15,2.7848e+15,1.886e+15,1.1686e+15,2.6536e+14,1015.3,1,23.761,23.761,94,0
2.8793e+14,1.1336e+15,2.7828e+15,1.8847e+15,1.1678e+15,2.6517e+14,1015.2,1,23.924,23.924,94,0
2.8772e+14,1.1327e+15,2.7808e+15,1.8833e+15,1.1669e+15,2.6498e+14,1015.2,1,24.087,24.087,94,0
2.8752e+14,1.1319e+15,2.7788e+15,1.882e+15,1.1661e+15,2.6479e+14,1015.1,1,24.25,24.25,94,0
2.8731e+14,1.1311e+15,2.7768e+15,1.8806e+15,1.1653e+15,2.646e+14,1015,1,24.413,24.413,94,0
2.871e+14,1.1303e+15,2.7748e+15,1.8792e+15,1.1644e+15,2.6442e+14,1015,1,24.575,24.575,94,0
2.869e+14,1.1295e+15,2.7728e+15,1.8779e+15,1.1636e+15,2.6423e+14,1014.9,1,24.738,24.738,94,0
2.8669e+14,1.1287e+15,2.7708e+15,1.8765e+15,1.1628e+15,2.6404e+14,1014.8,1,24.901,24.901,94,0
2.8648e+14,1.1279e+15,2.7689e+15,1.8752e+15,1.1619e+15,2.6385e+14,1014.8,1,25.063,25.063,94,0
2.8628e+14,1.1271e+15,2.7669e+15,1.8738e+15,1.1611e+15,2.6366e+14,1014.7,1,25.226,25.226,94,0
2.8607e+14,1.1262e+15,2.7649e+15,1.8725e+15,1.1602e+15,2.6348e+14,1014.6,1,25.389,25.389,94,0
2.8587e+14,1.1254e+15,2.7629e+15,1.8711e+15,1.1594e+15,2.6329e+14,1014.6,1,25.552,25.552,94,0
2.8566e+14,1.1246e+15,2.7609e+15,1.8698e+15,1.1586e+15,2.631e+14,1014.5,1,25.715,25.715,94,0
2.8545e+14,1.1238e+15,2.7589e+15,1.8684e+15,1.1577e+15,2.6291e+14,1014.4,1,25.877,25.877,94,0
2.8525e+14,1.123e+15,2.7569e+15,1.8671e+15,1.1569e+15,2.6272e+14,1014.4,1,26.04,26.04,94,0
2.8504e+14,1.1222e+15,2.7549e+15,1.8657e+15,1.156e+15,2.6254e+14,1014.3,1,26.203,26.203,94,0
2.8483e+14,1.1214e+15,2.7529e+15,1.8644e+15,1.1552e+15,2.6235e+14,1014.2,1,26.365,26.365,94,0
2.8463e+14,1.1206e+15,2.7509e+15,1.863e+15,1.1544e+15,2.6216e+14,1014.2,1,26.528,26.528,94,0
2.8442e+14,1.1198e+15,2.7489e+15,1.8616e+15,1.1535e+15,2.6197e+14,1014.1,1,26.691,26.691,94,0
2.8421e+14,1.1189e+15,2.7469e+15,1.8603e+15,1.1527e+15,2.6178e+14,1014,1,26.854,26.854,94,0
2.8401e+14,1.1181e+15,2.7449e+15,1.8589e+15,1.1519e+15,2.616e+14,1014,1,27.017,27.017,94,0
2.8378e+14,1.1172e+15,2.7426e+15,1.8574e+15,1.1509e+15,2.6138e+14,1013.9,1,27.179,27.179,94,0
2.8354e+14,1.1163e+15,2.7403e+15,1.8558e+15,1.1499e+15,2.6116e+14,1013.8,1,27.342,27.342,94,0
2.8329e+14,1.1153e+15,2.738e+15,1.8543e+15,1.149e+15,2.6094e+14,1013.7,1,27.505,27.505,94,0
2.8305e+14,1.1144e+15,2.7356e+15,1.8527e+15,1.148e+15,2.6072e+14,1013.7,1,27.667,27.667,94,0
2.8281e+14,1.1134e+15,2.7333e+15,1.8511e+15,1.147e+15,2.605e+14,1013.6,1,27.83,27.83,94,0
2.8257e+14,1.1125e+15,2.731e+15,1.8495e+15,1.146e+15,2.6028e+14,1013.5,1,27.993,27.993,94,0
2.8233e+14,1.1115e+15,2.7286e+15,1.8479e+15,1.145e+15,2.6006e+14,1013.4,1,28.156,28.156,94,0
2.8209e+14,1.1106e+15,2.7263e+15,1.8463e+15,1.1441e+15,2.5984e+14,1013.4,1,28.319,28.319,94,0
2.8185e+14,1.1096e+15,2.7239e+15,1.8447e+15,1.1431e+15,2.5962e+14,1013.3,1,28.481,28.481,94,0
2.816e+14,1.1087e+15,2.7216e+15,1.8432e+15,1.1421e+15,2.594e+14,1013.2,1,28.644,28.644,94,0
2.8136e+14,1.1077e+15,2.7193e+15,1.8416e+15,1.1411e+15,2.5918e+14,1013.1,1,28.807,28.807,94,0
2.8112e+14,1.1068e+15,2.7169e+15,1.84e+15,1.1401e+15,2.5896e+14,1013,1,28.969,28.969,94,0
2.8088e+14,1.1058e+15,2.7146e+15,1.8384e+15,1.1391e+15,2.5874e+14,1013,1,29.132,29.132,94,0
2.8064e+14,1.1049e+15,2.7123e+15,1.8368e+15,1.1382e+15,2.5852e+14,1012.9,1,29.295,29.295,94,0
2.804e+14,1.1039e+15,2.7099e+15,1.8352e+15,1.1372e+15,2.583e+14,1012.8,1,29.458,29.458,94,0
2.8016e+14,1.103e+15,2.7076e+15,1.8337e+15,1.1362e+15,2.5808e+14,1012.7,1,29.621,29.621,94,0
2.7991e+14,1.102e+15,2.7052e+15,1.8321e+15,1.1352e+15,2.5786e+14,1012.7,1,29.783,29.783,94,0
2.7967e+14,1.1011e+15,2.7029e+15,1.8305e+15,1.1342e+15,2.5764e+14,1012.6,1,29.946,29.946,94,0
2.7943e+14,1.1001e+15,2.7006e+15,1.8289e+15,1.1333e+15,2.5742e+14,1012.5,1,30.109,30.109,94,0
2.7919e+14,1.0992e+15,2.6982e+15,1.8273e+15,1.1323e+15,2.572e+14,1012.4,1,30.271,30.271,94,0
2.7895e+14,1.0982e+15,2.6959e+15,1.8257e+15,1.1313e+15,2.5698e+14,1012.3,1,30.434,30.434,94,0
2.7871e+14,1.0973e+15,2.6936e+15,1.8242e+15,1.1303e+15,2.5676e+14,1012.3,1,30.597,30.597,94,0
2.7847e+14,1.0963e+15,2.6912e+15,1.8226e+15,1.1293e+15,2.5654e+14,1012.2,1,30.76,30.76,94,0
2.7822e+14,1.0954e+15,2.6889e+15,1.821e+15,1.1284e+15,2.5632e+14,1012.1,1,30.923,30.923,94,0
2.7798e+14,1.0944e+15,2.6865e+15,1.8194e+15,1.1274e+15,2.561e+14,1012,1,31.085,31.085,94,0
2.7774e+14,1.0935e+15,2.6842e+15,1.8178e+15,1.1264e+15,2.5588e+14,1012,1,31.248,31.248,94,0
2.775e+14,1.0925e+15,2.6819e+15,1.8162e+15,1.1254e+15,2.5566e+14,1011.9,1,31.411,31.411,94,0
2.7726e+14,1.0916e+15,2.6795e+15,1.8147e+15,1.1244e+15,2.5544e+14,1011.8,1,31.573,31.573,94,0
2.7698e+14,1.0905e+15,2.6769e+15,1.8128e+15,1.1233e+15,2.5519e+14,1011.7,1,31.736,31.736,94,0
2.7671e+14,1.0894e+15,2.6742e+15,1.811e+15,1.1222e+15,2.5494e+14,1011.6,1,31.899,31.899,94,0
2.7643e+14,1.0883e+15,2.6715e+15,1.8092e+15,1.1211e+15,2.5469e+14,1011.5,1,32.062,32.062,94,0
2.7616e+14,1.0872e+15,2.6689e+15,1.8074e+15,1.12e+15,2.5444e+14,1011.4,1,32.224,32.224,94,0
2.7588e+14,1.0861e+15,2.6662e+15,1.8056e+15,1.1188e+15,2.5419e+14,1011.4,1,32.387,32.387,94,0
2.7561e+14,1.085e+15,2.6635e+15,1.8038e+15,1.1177e+15,2.5393e+14,1011.3,1,32.55,32.55,94,0
2.7533e+14,1.084e+15,2.6609e+15,1.802e+15,1.1166e+15,2.5368e+14,1011.2,1,32.713,32.713,94,0
2.7506e+14,1.0829e+15,2.6582e+15,1.8002e+15,1.1155e+15,2.5343e+14,1011.1,1,32.875,32.875,94,0
2.7478e+14,1.0818e+15,2.6555e+15,1.7984e+15,1.1144e+15,2.5318e+14,1011,1,33.038,33.038,94,0
2.745e+14,1.0807e+15,2.6529e+15,1.7966e+15,1.1133e+15,2.5293e+14,1010.9,1,33.201,33.201,94,0
2.7423e+14,1.0796e+15,2.6502e+15,1.7948e+15,1.1121e+15,2.5268e+14,1010.8,1,33.364,33.364,94,0
2.7395e+14,1.0785e+15,2.6475e+15,1.793e+15,1.111e+15,2.5243e+14,1010.7,1,33.527,33.527,94,0
2.7368e+14,1.0775e+15,2.6449e+15,1.7912e+15,1.1099e+15,2.5218e+14,1010.7,1,33.689,33.689,94,0
